Timestamp,Key Value,_ey Code
1.6449E+14,,36
1.6449E+14,s,1
1.6449E+14,,53
1.6449E+14,d,2
1.6449E+14,f,3
1.6449E+14,a,0
1.6449E+14,s,1
1.6449E+14,d,2
1.6449E+14,f,3
1.6449E+14,a,0
1.6449E+14,w,13
1.6449E+14,,51
1.6449E+14,q,12
1.6449E+14,s,1
1.6449E+14,,126
1.6449E+14,,126
1.6449E+14,,126
1.6449E+14,,36
1.64491E+14,t,17
1.64491E+14,l,37
1.64491E+14,m,46
1.64491E+14,3,20
1.64491E+14,5,23
1.64491E+14,8,28
1.64491E+14,,36
1.64491E+14,t,17
1.64491E+14,L,37
1.64491E+14,M,46
1.64491E+14,,124
1.64491E+14,P,35
1.64491E+14,,36
1.64491E+14,,48
1.64491E+14,"	",48
1.64491E+14,"	",48
1.64491E+14,,53
1.64491E+14,,48
1.64491E+14,"	",48
1.64491E+14,"	",48
1.64491E+14,"	",48
1.64491E+14,f,3
1.64491E+14,t,17
1.64491E+14,h,4
1.64491E+14,r,15
1.64491E+14,o,31
1.64491E+14,u,32
1.64491E+14,g,5
1.64491E+14,h,4
1.64491E+14,h,4
1.64491E+14,,51
1.64491E+14,,36
1.64491E+14,,36
1.64491E+14,,36
1.64491E+14,,53
1.64491E+14,,48
1.64491E+14,,48
1.64491E+14,,48
1.64491E+14,,48
1.64491E+14,,48
1.64491E+14,c,8
1.64491E+14,m,46
1.64491E+14,,36
1.64491E+14,r,15
1.64491E+14,s,1
1.64491E+14,e,14
1.64491E+14,b,11
1.64491E+14,a,0
1.64491E+14,s,1
1.64491E+14,,125
1.64491E+14,,36
1.64491E+14,v,9
1.64491E+14,,36
1.64491E+14,,53
1.64491E+14,,53
1.64491E+14,e,14
1.64491E+14,w,13
1.64491E+14,"	",48
1.64491E+14,"	",48
1.64491E+14,"	",48
1.64491E+14,w,13
1.64491E+14,"	",48
1.64491E+14, ,49
1.64492E+14,t,17
1.64492E+14,n,45
1.64492E+14,o,31
1.64492E+14,n,45
1.64492E+14,i,34
1.64492E+14,n,45
1.64492E+14,v,9
1.64492E+14,e,14
1.64492E+14,r,15
1.64492E+14,t,17
1.64492E+14,i,34
1.64492E+14,n,45
1.64492E+14,g,5
1.64492E+14, ,49
1.64492E+14,a,0
1.64492E+14,m,46
1.64492E+14,p,35
1.64492E+14,l,37
1.64492E+14,i,34